Suit_1,Suit_2,Suit_3,Suit_4,Pr_suit_1,Pr_suit_2,Pr_suit_3,Pr_suit_4,Pr_10_1,Pr_10_2,Pr_10_3,Pr_10_4
3.0,1.0,1.0,0.0,0.222,0.388,0.168,0.222,0.794,0.692,0.613,0.559
3.0,1.0,1.0,1.0,0.209,0.372,0.209,0.209,0.774,0.667,0.613,0.613
3.0,1.0,1.0,2.0,0.195,0.35,0.26,0.195,0.753,0.64,0.613,0.671
3.0,1.0,1.0,3.0,0.177,0.323,0.323,0.177,0.731,0.613,0.613,0.731
3.0,1.0,2.0,0.0,0.206,0.365,0.155,0.273,0.777,0.67,0.671,0.559
3.0,1.0,2.0,1.0,0.195,0.35,0.195,0.26,0.753,0.64,0.671,0.613
3.0,1.0,2.0,2.0,0.181,0.33,0.244,0.244,0.727,0.609,0.671,0.671
3.0,1.0,2.0,3.0,0.165,0.306,0.306,0.224,0.7,0.576,0.671,0.731
3.0,1.0,3.0,0.0,0.188,0.336,0.14,0.336,0.759,0.647,0.731,0.559
3.0,1.0,3.0,1.0,0.177,0.323,0.177,0.323,0.731,0.613,0.731,0.613
3.0,1.0,3.0,2.0,0.165,0.306,0.224,0.306,0.7,0.576,0.731,0.671
3.0,1.0,3.0,3.0,0.15,0.283,0.283,0.283,0.667,0.538,0.731,0.731
3.0,2.0,0.0,0.0,0.287,0.381,0.166,0.166,0.811,0.763,0.521,0.521
3.0,2.0,0.0,1.0,0.273,0.365,0.206,0.155,0.794,0.743,0.521,0.576
3.0,2.0,0.0,2.0,0.256,0.344,0.256,0.143,0.777,0.723,0.521,0.636
3.0,2.0,0.0,3.0,0.235,0.318,0.318,0.129,0.759,0.702,0.521,0.7
3.0,2.0,1.0,0.0,0.273,0.365,0.155,0.206,0.794,0.743,0.576,0.521
3.0,2.0,1.0,1.0,0.26,0.35,0.195,0.195,0.774,0.72,0.576,0.576
3.0,2.0,1.0,2.0,0.244,0.33,0.244,0.181,0.753,0.696,0.576,0.636
3.0,2.0,1.0,3.0,0.224,0.306,0.306,0.165,0.731,0.671,0.576,0.7
3.0,2.0,2.0,0.0,0.256,0.344,0.143,0.256,0.777,0.723,0.636,0.521
3.0,2.0,2.0,1.0,0.244,0.33,0.181,0.244,0.753,0.696,0.636,0.576
3.0,2.0,2.0,2.0,0.229,0.312,0.229,0.229,0.727,0.667,0.636,0.636
3.0,2.0,2.0,3.0,0.211,0.289,0.289,0.211,0.7,0.636,0.636,0.7
3.0,2.0,3.0,0.0,0.235,0.318,0.129,0.318,0.759,0.702,0.7,0.521
3.0,2.0,3.0,1.0,0.224,0.306,0.165,0.306,0.731,0.671,0.7,0.576
3.0,2.0,3.0,2.0,0.211,0.289,0.211,0.289,0.7,0.636,0.7,0.636
3.0,2.0,3.0,3.0,0.194,0.269,0.269,0.269,0.667,0.6,0.7,0.7
3.0,3.0,0.0,0.0,0.35,0.35,0.15,0.15,0.811,0.811,0.483,0.483
3.0,3.0,0.0,1.0,0.336,0.336,0.188,0.14,0.794,0.794,0.483,0.538
3.0,3.0,0.0,2.0,0.318,0.318,0.235,0.129,0.777,0.777,0.483,0.6
3.0,3.0,0.0,3.0,0.295,0.295,0.295,0.116,0.759,0.759,0.483,0.667
3.0,3.0,1.0,0.0,0.336,0.336,0.14,0.188,0.794,0.794,0.538,0.483
3.0,3.0,1.0,1.0,0.323,0.323,0.177,0.177,0.774,0.774,0.538,0.538
3.0,3.0,1.0,2.0,0.306,0.306,0.224,0.165,0.753,0.753,0.538,0.6
3.0,3.0,1.0,3.0,0.283,0.283,0.283,0.15,0.731,0.731,0.538,0.667
3.0,3.0,2.0,0.0,0.318,0.318,0.129,0.235,0.777,0.777,0.6,0.483
3.0,3.0,2.0,1.0,0.306,0.306,0.165,0.224,0.753,0.753,0.6,0.538
